#{"t_start": 1727809943.5609581, "env_id": "NetworkEnv-v0"}
r,l,t,distance,sum_rate
6502.37834,200,3734.915237,9.055385138137417,28.851511052163943
7428.322519,200,3744.8669,1.4142135623730951,28.774546539058054
6064.939394,200,3751.098665,11.40175425099138,28.807214152246743
6312.482578,200,3760.552696,12.041594578792296,28.85844809453102
6712.978615,200,3778.343661,5.385164807134504,28.75497301196869
6814.603266,200,3787.816101,3.605551275463989,28.783164165334288
6833.501892,200,3792.668542,10.63014581273465,28.738353112619745
6345.435424,200,3800.835263,26.019223662515376,28.767134050616214
6853.983369,200,3807.157501,8.94427190999916,28.773408328464942
6782.020659,200,3818.081192,9.055385138137417,28.819151495409862
6737.272304,200,3824.552066,4.242640687119285,28.7877021358359
6482.685283,200,3833.553783,8.06225774829855,28.731086565178384
6830.828398,200,3838.901706,9.219544457292887,28.777089291815848
6799.814196,200,3849.509276,8.06225774829855,28.77750875674789
6983.552432,200,3864.961153,4.47213595499958,28.76764420793112
6561.250266,200,3869.72174,7.211102550927978,28.837600307135503
6846.555391,200,3880.593117,6.4031242374328485,28.77656261306946
7592.696409,200,3885.230047,3.605551275463989,28.831868795942533
6912.804584,200,3892.560292,11.180339887498949,28.76210376427534
5940.4805,200,3899.924828,12.806248474865697,28.694498068983044
6940.634604,200,3909.8003,1.0,28.755107420217357
6442.922616,200,3916.972098,10.295630140987,28.777727585939974
6936.80997,200,3924.200485,14.422205101855956,28.865039926672914
6500.653383,200,3929.776209,12.206555615733702,28.75054823257514
6647.371279,200,3945.248989,4.0,28.773234025930627
6068.733974,200,3952.929006,9.486832980505138,28.79956405461933
6863.648957,200,3959.212327,17.029386365926403,28.839001099604943
6349.698994,200,3966.164025,17.204650534085253,28.75619910726488
6567.616001,200,3974.814122,21.0,28.743146512137244
6985.057885,200,3980.574545,4.47213595499958,28.76895211305935
7037.912871,200,3988.788536,13.892443989449804,28.764330954997256
6719.459447,200,3993.207259,5.830951894845301,28.7834285649001
6584.075235,200,4001.048254,8.0,28.741826139330716
6448.065215,200,4007.233633,2.23606797749979,28.764306190796486
6372.986297,200,4022.33233,8.0,28.75985829230144
6667.161528,200,4032.164924,5.385164807134504,28.785809022081917
6188.311387,200,4039.434247,7.0710678118654755,28.80734093062999
6960.404403,200,4048.485838,21.93171219946131,28.810924367297837
7236.028925,200,4055.972361,8.06225774829855,28.892471398587105
6582.203564,200,4065.245692,8.54400374531753,28.788490843670417
6619.132635,200,4073.595957,8.06225774829855,28.77819671408363
6353.225337,200,4083.197149,8.48528137423857,28.76436551010127
6702.162848,200,4090.327684,3.605551275463989,28.80777092792539
6616.483624,200,4098.350272,14.560219778561036,28.794678545198288
7248.12863,200,4103.874707,6.324555320336759,28.76899329822526
6428.292548,200,4116.989019,15.524174696260024,28.788554684519145
6704.525358,200,4125.921444,5.830951894845301,28.830564095491187
6656.532661,200,4130.762296,4.242640687119285,28.831868836859393
6969.227119,200,4136.452011,3.1622776601683795,28.747939239085596
6556.730365,200,4143.610734,3.1622776601683795,28.728265514314373
6849.515847,200,4149.081312,5.0990195135927845,28.74816157914259
7254.862106,200,4157.916381,3.605551275463989,28.720652480967452
7176.790817,200,4163.278979,2.0,28.84887948070858
6613.947383,200,4167.812239,7.810249675906654,28.835162885275835
6660.061415,200,4176.222452,11.045361017187261,28.758920141076942
7135.299514,200,4190.500687,17.26267650163207,28.81456564393776
7098.496665,200,4197.757103,7.810249675906654,28.849480088253614
6856.182894,200,4206.677039,9.219544457292887,28.864098261332455
7301.25804,200,4212.633665,5.0990195135927845,28.753328297558312
6668.622479,200,4221.009675,5.385164807134504,28.759828530005564
6586.876798,200,4229.194795,5.385164807134504,28.80345419765785
6652.073708,200,4239.155037,5.656854249492381,28.80399189571074
6049.161327,200,4246.716846,13.45362404707371,28.76636241393357
6522.485626,200,4255.350618,8.94427190999916,28.78755270240993
6418.310407,200,4260.569378,8.94427190999916,28.781238810925025
6995.295834,200,4271.624106,2.0,28.739045723258325
6884.957663,200,4277.635749,6.082762530298219,28.80454934921807
6663.683287,200,4285.737704,8.246211251235321,28.760021825532913
6877.971416,200,4291.972974,4.123105625617661,28.78190383577863
6474.526037,200,4302.47757,9.848857801796104,28.738422776148386
6528.292169,200,4308.182859,13.038404810405298,28.878448503386096
6563.082364,200,4318.059754,8.0,28.80801377228378
6996.924489,200,4323.443547,1.0,28.831183844074012
6547.658561,200,4330.212216,6.082762530298219,28.74907418987207
6932.907392,200,4336.170182,2.8284271247461903,28.816621202877528
6362.059877,200,4347.666019,10.816653826391969,28.846085166125995
7245.30485,200,4354.9201,3.0,28.735056742720456
6493.598397,200,4362.821978,3.605551275463989,28.75366865405135
6608.744261,200,4367.769276,2.23606797749979,28.755580493935046
6405.535134,200,4376.216482,12.041594578792296,28.718130543414162
6265.435719,200,4381.037648,11.704699910719626,28.82784443030513
7066.028602,200,4385.953128,5.830951894845301,28.7260507098164
6785.717799,200,4394.231887,7.0,28.75147413108333
6709.705078,200,4398.912115,8.06225774829855,28.746307260472772
6502.343786,200,4407.738954,13.0,28.83452170205692
7035.346993,200,4415.470217,7.615773105863909,28.77791024498992
6915.19847,200,4429.061265,6.708203932499369,28.811825648938584
6392.569427,200,4439.601527,11.045361017187261,28.82754763839821
7101.92627,200,4450.183568,11.313708498984761,28.759173688251565
7293.899812,200,4461.830848,3.1622776601683795,28.82422651113866
7200.812527,200,4471.545221,5.0990195135927845,28.806212140202433
7002.020261,200,4482.110144,15.556349186104045,28.762961806351793
6812.746592,200,4487.329004,9.848857801796104,28.83118674578537
7200.949824,200,4493.422537,4.47213595499958,28.8658097887512
7026.223106,200,4501.554887,3.1622776601683795,28.744437263262085
6773.022674,200,4506.850273,5.0,28.854042153540163
6475.648986,200,4520.211592,14.560219778561036,28.79024963114227
6919.309573,200,4528.835951,16.1245154965971,28.792561915913378
7563.550621,200,4533.340091,2.8284271247461903,28.765486227450626
7513.733813,200,4541.506084,5.656854249492381,28.79504056410573
7067.167057,200,4548.325767,10.04987562112089,28.69653754338025
6722.853022,200,4553.238869,6.082762530298219,28.812711618032733
6687.07447,200,4561.485471,11.045361017187261,28.760547127423024
6635.891622,200,4567.662078,5.0990195135927845,28.79990021209293
6998.648226,200,4577.19172,4.123105625617661,28.7911752916011
7589.403686,200,4582.700327,6.708203932499369,28.822504564495556
7577.840646,200,4601.743516,8.246211251235321,28.828884676296447
6424.831371,200,4610.904209,9.486832980505138,28.760175749490685
7058.207598,200,4618.537977,12.806248474865697,28.718867908874763
7119.827138,200,4624.037732,13.038404810405298,28.82247694851825
7211.928585,200,4629.465124,8.06225774829855,28.724665745538914
6758.869813,200,4639.051185,8.246211251235321,28.803317956398736
6737.424924,200,4643.919084,8.246211251235321,28.796313117283177
7013.2125,200,4651.700478,9.486832980505138,28.79466003790561
6363.551865,200,4657.556824,10.04987562112089,28.733054672739783
6812.636501,200,4663.60205,10.198039027185569,28.783062223521664
7189.738745,200,4679.327902,11.045361017187261,28.769754995015845
6905.67581,200,4687.477507,10.770329614269007,28.739674668909505
7203.037016,200,4694.661759,13.892443989449804,28.809504939515783
6728.777092,200,4707.493736,8.0,28.777683110647644
7163.238503,200,4719.998884,10.770329614269007,28.8188036566322
6974.915684,200,4728.656207,13.601470508735444,28.698684444207366
7344.56933,200,4737.10409,6.082762530298219,28.835811145445057
7372.08561,200,4743.716763,6.324555320336759,28.848657033327946
7131.557248,200,4751.836374,5.830951894845301,28.815997554150485
7153.167762,200,4759.92367,7.211102550927978,28.75580642529426
7537.851831,200,4774.754771,10.63014581273465,28.698697238543676
7024.555708,200,4783.258779,3.0,28.739177540571855
6854.340524,200,4788.921373,7.0710678118654755,28.808539630208756
6890.36308,200,4796.559942,10.198039027185569,28.802773400611102
6546.296671,200,4803.744609,11.661903789690601,28.823122879375536
7385.003711,200,4811.845038,5.0,28.82117649026474
7072.441555,200,4817.896027,3.1622776601683795,28.67704860606886
6375.654246,200,4825.30692,12.727922061357855,28.69393347334252
6248.972892,200,4830.874115,7.0710678118654755,28.74162949430822
6842.924933,200,4836.032531,5.0,28.719541345921684
7027.825302,200,4843.809074,4.242640687119285,28.798744212015155
6876.905654,200,4860.758582,3.1622776601683795,28.77760138783706
7251.357248,200,4867.607379,10.295630140987,28.84046321453723
6939.315257,200,4876.211481,6.0,28.78804384896507
7227.860996,200,4881.631748,2.23606797749979,28.68022238511045
6882.244243,200,4889.96337,9.055385138137417,28.80593140539306
6411.478621,200,4895.567715,18.439088914585774,28.764731610048987
6927.602092,200,4902.935061,1.0,28.756126068582812
6459.923589,200,4909.788074,3.605551275463989,28.798852532105055
7218.620023,200,4917.93349,9.486832980505138,28.806788587579476
6246.226615,200,4925.688721,15.231546211727817,28.721583619090424
7247.206329,200,4940.191121,4.123105625617661,28.74247511638172
6450.098148,200,4944.700951,12.529964086141668,28.727159134277255
7018.537047,200,4955.147647,0.0,28.78913580556159
7136.104053,200,4967.102204,9.848857801796104,28.759580872449703
6197.66463,200,4975.428258,10.04987562112089,28.728877341569337
7162.895571,200,4984.311133,8.06225774829855,28.731117157236127
7498.292439,200,4990.971388,4.123105625617661,28.807126294244853
6936.299313,200,5000.67531,7.0,28.825617711489045
